code;country;gdp;hdi;uhc;pop_0_14;pop_15_64;pop_65+;week;prev_cases;prev_deaths;cases;deaths
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;1;0.0;0.0;2.8528629966037062;0.019811548587525738
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;2;2.8528629966037062;0.019811548587525738;6.121768513545453;0.019811548587525738
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;3;6.121768513545453;0.019811548587525738;8.954819961561633;0.039623097175051476
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;4;8.954819961561633;0.039623097175051476;10.995409466076785;0.05943464576257721
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;5;10.995409466076785;0.05943464576257721;11.886929152515442;0.09905774293762869
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;6;11.886929152515442;0.09905774293762869;12.520898707316267;0.09905774293762869
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;7;12.520898707316267;0.09905774293762869;13.43222994234245;0.09905774293762869
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;8;13.43222994234245;0.09905774293762869;14.719980600531622;0.13868084011268017
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;9;14.719980600531622;0.13868084011268017;16.166223647421003;0.17830393728773164
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;10;16.166223647421003;0.17830393728773164;18.087943860411;0.17830393728773164
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;11;18.087943860411;0.17830393728773164;21.93138428639099;0.17830393728773164
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;12;21.93138428639099;0.17830393728773164;28.746557000499845;0.2179270344627831
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;13;28.746557000499845;0.2179270344627831;35.34380268014591;0.2179270344627831
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;14;35.34380268014591;0.2179270344627831;51.45059168180434;0.2179270344627831
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;15;51.45059168180434;0.2179270344627831;77.9782552405013;0.3169847774004118
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;16;77.9782552405013;0.3169847774004118;126.75428786298967;0.4754771661006177
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;17;126.75428786298967;0.4754771661006177;187.39743808940597;0.8122734920885553
CRI;Costa Rica;98801203452.2621;0.794;0.77;0.21324744106391094;0.6912540822063907;0.09549847672969838;18;187.39743808940597;0.8122734920885553;258.38221667851064;1.5651123384145333
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;1;0.0;0.0;13.01519924100838;0.7991789007636725
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;2;13.01519924100838;0.7991789007636725;39.84477662378882;1.0275157295532933
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;3;39.84477662378882;1.0275157295532933;62.335954259566456;1.3700209727377244
